receipt_text,category
dinner lunch food invoice service tax 7499,restaurant
hotel restaurant gst total amount 3294,restaurant
pizza burger coke restaurant bill 6386,restaurant
dinner lunch food invoice service tax 171,restaurant
dinner lunch food invoice service tax 3330,restaurant
dinner lunch food invoice service tax 4355,restaurant
dinner lunch food invoice service tax 7552,restaurant
dinner lunch food invoice service tax 3075,restaurant
coffee tea sandwich cafe bill 8653,restaurant
dinner lunch food invoice service tax 8056,restaurant
coffee tea sandwich cafe bill 812,restaurant
dinner lunch food invoice service tax 7730,restaurant
restaurant food order subtotal tax 2826,restaurant
coffee tea sandwich cafe bill 9164,restaurant
restaurant food order subtotal tax 7267,restaurant
dinner lunch food invoice service tax 4756,restaurant
dinner lunch food invoice service tax 7739,restaurant
hotel restaurant gst total amount 6060,restaurant
dinner lunch food invoice service tax 5129,restaurant
coffee tea sandwich cafe bill 6337,restaurant
restaurant food order subtotal tax 2318,restaurant
restaurant food order subtotal tax 7587,restaurant
hotel restaurant gst total amount 3364,restaurant
restaurant food order subtotal tax 4035,restaurant
pizza burger coke restaurant bill 5401,restaurant
hotel restaurant gst total amount 8921,restaurant
pizza burger coke restaurant bill 5943,restaurant
coffee tea sandwich cafe bill 4966,restaurant
pizza burger coke restaurant bill 903,restaurant
dinner lunch food invoice service tax 8702,restaurant
dinner lunch food invoice service tax 9472,restaurant
coffee tea sandwich cafe bill 9839,restaurant
restaurant food order subtotal tax 4819,restaurant
pizza burger coke restaurant bill 6383,restaurant
dinner lunch food invoice service tax 8984,restaurant
restaurant food order subtotal tax 3830,restaurant
hotel restaurant gst total amount 2614,restaurant
dinner lunch food invoice service tax 3135,restaurant
coffee tea sandwich cafe bill 6727,restaurant
hotel restaurant gst total amount 6202,restaurant
pizza burger coke restaurant bill 4682,restaurant
restaurant food order subtotal tax 1275,restaurant
pizza burger coke restaurant bill 203,restaurant
coffee tea sandwich cafe bill 5143,restaurant
coffee tea sandwich cafe bill 6316,restaurant
coffee tea sandwich cafe bill 344,restaurant
pizza burger coke restaurant bill 7658,restaurant
coffee tea sandwich cafe bill 8204,restaurant
hotel restaurant gst total amount 2254,restaurant
restaurant food order subtotal tax 782,restaurant
dinner lunch food invoice service tax 3535,restaurant
restaurant food order subtotal tax 2067,restaurant
hotel restaurant gst total amount 2260,restaurant
hotel restaurant gst total amount 6797,restaurant
pizza burger coke restaurant bill 2807,restaurant
pizza burger coke restaurant bill 9987,restaurant
dinner lunch food invoice service tax 7934,restaurant
dinner lunch food invoice service tax 8461,restaurant
hotel restaurant gst total amount 4495,restaurant
pizza burger coke restaurant bill 2964,restaurant
restaurant food order subtotal tax 2636,restaurant
hotel restaurant gst total amount 6993,restaurant
pizza burger coke restaurant bill 7135,restaurant
coffee tea sandwich cafe bill 8941,restaurant
coffee tea sandwich cafe bill 4435,restaurant
restaurant food order subtotal tax 6442,restaurant
pizza burger coke restaurant bill 5003,restaurant
pizza burger coke restaurant bill 423,restaurant
restaurant food order subtotal tax 592,restaurant
pizza burger coke restaurant bill 2177,restaurant
coffee tea sandwich cafe bill 6829,restaurant
hotel restaurant gst total amount 1226,restaurant
dinner lunch food invoice service tax 5025,restaurant
dinner lunch food invoice service tax 4820,restaurant
dinner lunch food invoice service tax 4697,restaurant
dinner lunch food invoice service tax 1707,restaurant
shirt pant casual wear clothing store 1312,fashion
fashion store apparel bill gst invoice 9049,fashion
mens casual shorts knits apparel 1823,fashion
shirt pant casual wear clothing store 6899,fashion
zudio trent limited mens tshirt jeans clothing 8718,fashion
zudio trent limited mens tshirt jeans clothing 424,fashion
mens casual shorts knits apparel 6501,fashion
fashion store apparel bill gst invoice 1799,fashion
zudio trent limited mens tshirt jeans clothing 6123,fashion
zudio trent limited mens tshirt jeans clothing 483,fashion
zudio trent limited mens tshirt jeans clothing 6584,fashion
fashion store apparel bill gst invoice 7417,fashion
fashion store apparel bill gst invoice 8826,fashion
fashion store apparel bill gst invoice 5444,fashion
h&m zara lifestyle fashion outlet 3066,fashion
fashion store apparel bill gst invoice 8681,fashion
mens casual shorts knits apparel 8229,fashion
fashion store apparel bill gst invoice 6349,fashion
zudio trent limited mens tshirt jeans clothing 3012,fashion
shirt pant casual wear clothing store 1910,fashion
zudio trent limited mens tshirt jeans clothing 8664,fashion
zudio trent limited mens tshirt jeans clothing 1077,fashion
zudio trent limited mens tshirt jeans clothing 3414,fashion
shirt pant casual wear clothing store 242,fashion
fashion store apparel bill gst invoice 4838,fashion
zudio trent limited mens tshirt jeans clothing 2238,fashion
h&m zara lifestyle fashion outlet 7574,fashion
h&m zara lifestyle fashion outlet 8970,fashion
mens casual shorts knits apparel 5625,fashion
mens casual shorts knits apparel 4439,fashion
fashion store apparel bill gst invoice 4731,fashion
zudio trent limited mens tshirt jeans clothing 1074,fashion
shirt pant casual wear clothing store 626,fashion
shirt pant casual wear clothing store 9818,fashion
shirt pant casual wear clothing store 8308,fashion
fashion store apparel bill gst invoice 5552,fashion
shirt pant casual wear clothing store 7437,fashion
h&m zara lifestyle fashion outlet 8841,fashion
fashion store apparel bill gst invoice 1444,fashion
shirt pant casual wear clothing store 2232,fashion
shirt pant casual wear clothing store 1650,fashion
zudio trent limited mens tshirt jeans clothing 4308,fashion
zudio trent limited mens tshirt jeans clothing 7314,fashion
shirt pant casual wear clothing store 4821,fashion
mens casual shorts knits apparel 9710,fashion
shirt pant casual wear clothing store 7874,fashion
zudio trent limited mens tshirt jeans clothing 3651,fashion
fashion store apparel bill gst invoice 429,fashion
h&m zara lifestyle fashion outlet 5695,fashion
zudio trent limited mens tshirt jeans clothing 5863,fashion
mens casual shorts knits apparel 4823,fashion
shirt pant casual wear clothing store 2383,fashion
shirt pant casual wear clothing store 6084,fashion
zudio trent limited mens tshirt jeans clothing 7970,fashion
h&m zara lifestyle fashion outlet 6059,fashion
h&m zara lifestyle fashion outlet 869,fashion
fashion store apparel bill gst invoice 3631,fashion
fashion store apparel bill gst invoice 9511,fashion
shirt pant casual wear clothing store 2036,fashion
h&m zara lifestyle fashion outlet 4427,fashion
mens casual shorts knits apparel 3233,fashion
h&m zara lifestyle fashion outlet 4023,fashion
fashion store apparel bill gst invoice 7896,fashion
h&m zara lifestyle fashion outlet 9508,fashion
h&m zara lifestyle fashion outlet 9048,fashion
fashion store apparel bill gst invoice 518,fashion
shirt pant casual wear clothing store 1737,fashion
h&m zara lifestyle fashion outlet 2513,fashion
shirt pant casual wear clothing store 4434,fashion
h&m zara lifestyle fashion outlet 4871,fashion
mens casual shorts knits apparel 8304,fashion
mens casual shorts knits apparel 6539,fashion
fashion store apparel bill gst invoice 8295,fashion
fashion store apparel bill gst invoice 4687,fashion
shirt pant casual wear clothing store 1209,fashion
zudio trent limited mens tshirt jeans clothing 5932,fashion
fashion store apparel bill gst invoice 1834,fashion
zudio trent limited mens tshirt jeans clothing 3805,fashion
h&m zara lifestyle fashion outlet 988,fashion
h&m zara lifestyle fashion outlet 1537,fashion
h&m zara lifestyle fashion outlet 6806,fashion
zudio trent limited mens tshirt jeans clothing 585,fashion
fashion store apparel bill gst invoice 6363,fashion
mens casual shorts knits apparel 3010,fashion
h&m zara lifestyle fashion outlet 7563,fashion
fashion store apparel bill gst invoice 1545,fashion
mens casual shorts knits apparel 4945,fashion
zudio trent limited mens tshirt jeans clothing 593,fashion
zudio trent limited mens tshirt jeans clothing 1244,fashion
shirt pant casual wear clothing store 1863,fashion
h&m zara lifestyle fashion outlet 7084,fashion
shirt pant casual wear clothing store 8298,fashion
zudio trent limited mens tshirt jeans clothing 931,fashion
h&m zara lifestyle fashion outlet 2695,fashion
shirt pant casual wear clothing store 5235,fashion
h&m zara lifestyle fashion outlet 5314,fashion
mens casual shorts knits apparel 5244,fashion
fashion store apparel bill gst invoice 8787,fashion
shirt pant casual wear clothing store 287,fashion
h&m zara lifestyle fashion outlet 3205,fashion
petrol pump transaction slip 2009,fuel
indian oil petrol invoice total 778,fuel
petrol pump transaction slip 9454,fuel
fuel station diesel receipt 3902,fuel
bharat petroleum fuel bill gst 7820,fuel
petrol diesel fuel pump liter rate 6911,fuel
fuel station diesel receipt 9888,fuel
fuel station diesel receipt 4141,fuel
bharat petroleum fuel bill gst 7362,fuel
fuel station diesel receipt 5626,fuel
bharat petroleum fuel bill gst 8989,fuel
petrol pump transaction slip 753,fuel
indian oil petrol invoice total 5982,fuel
petrol diesel fuel pump liter rate 5021,fuel
petrol pump transaction slip 1023,fuel
fuel station diesel receipt 1107,fuel
indian oil petrol invoice total 5742,fuel
fuel station diesel receipt 9231,fuel
indian oil petrol invoice total 2207,fuel
fuel station diesel receipt 6948,fuel
petrol diesel fuel pump liter rate 9334,fuel
fuel station diesel receipt 7172,fuel
fuel station diesel receipt 5373,fuel
petrol diesel fuel pump liter rate 4852,fuel
indian oil petrol invoice total 1385,fuel
petrol pump transaction slip 9117,fuel
fuel station diesel receipt 5886,fuel
bharat petroleum fuel bill gst 2177,fuel
petrol diesel fuel pump liter rate 4280,fuel
indian oil petrol invoice total 3631,fuel
bharat petroleum fuel bill gst 4187,fuel
bharat petroleum fuel bill gst 4374,fuel
indian oil petrol invoice total 9432,fuel
indian oil petrol invoice total 3091,fuel
fuel station diesel receipt 8535,fuel
fuel station diesel receipt 742,fuel
petrol diesel fuel pump liter rate 7449,fuel
petrol pump transaction slip 6977,fuel
petrol pump transaction slip 6900,fuel
fuel station diesel receipt 6234,fuel
fuel station diesel receipt 9677,fuel
bharat petroleum fuel bill gst 1420,fuel
fuel station diesel receipt 3860,fuel
petrol diesel fuel pump liter rate 3864,fuel
bharat petroleum fuel bill gst 4029,fuel
petrol diesel fuel pump liter rate 8612,fuel
indian oil petrol invoice total 4489,fuel
indian oil petrol invoice total 1544,fuel
petrol diesel fuel pump liter rate 8715,fuel
petrol pump transaction slip 9237,fuel
bharat petroleum fuel bill gst 3328,fuel
fuel station diesel receipt 5273,fuel
petrol diesel fuel pump liter rate 8695,fuel
petrol diesel fuel pump liter rate 8991,fuel
petrol diesel fuel pump liter rate 7462,fuel
indian oil petrol invoice total 1223,fuel
indian oil petrol invoice total 140,fuel
petrol diesel fuel pump liter rate 4885,fuel
petrol pump transaction slip 6291,fuel
petrol pump transaction slip 2982,fuel
fuel station diesel receipt 2533,fuel
indian oil petrol invoice total 2110,fuel
petrol pump transaction slip 9514,fuel
fuel station diesel receipt 570,fuel
bharat petroleum fuel bill gst 6559,fuel
fuel station diesel receipt 4269,fuel
bharat petroleum fuel bill gst 6380,fuel
fuel station diesel receipt 3527,fuel
fuel station diesel receipt 3349,fuel
bharat petroleum fuel bill gst 8268,fuel
fuel station diesel receipt 6541,fuel
indian oil petrol invoice total 9098,fuel
fuel station diesel receipt 4369,fuel
petrol pump transaction slip 7990,fuel
fuel station diesel receipt 2860,fuel
bharat petroleum fuel bill gst 3779,fuel
fuel station diesel receipt 8092,fuel
bharat petroleum fuel bill gst 5735,fuel
petrol diesel fuel pump liter rate 2246,fuel
petrol diesel fuel pump liter rate 9188,fuel
fuel station diesel receipt 2476,fuel
petrol pump transaction slip 1361,fuel
petrol diesel fuel pump liter rate 3508,fuel
petrol diesel fuel pump liter rate 2811,fuel
fuel station diesel receipt 3645,fuel
fuel station diesel receipt 3188,fuel
indian oil petrol invoice total 7904,fuel
fuel station diesel receipt 901,fuel
fuel station diesel receipt 4466,fuel
petrol pump transaction slip 8733,fuel
indian oil petrol invoice total 7319,fuel
petrol diesel fuel pump liter rate 5518,fuel
indian oil petrol invoice total 2438,fuel
petrol pump transaction slip 7849,fuel
petrol pump transaction slip 2687,fuel
petrol diesel fuel pump liter rate 4139,fuel
fuel station diesel receipt 1736,fuel
petrol diesel fuel pump liter rate 3258,fuel
petrol diesel fuel pump liter rate 3080,fuel
fuel station diesel receipt 9495,fuel
medical store prescription drugs 9261,pharmacy
paracetamol tablet medicine pharmacy bill 9034,pharmacy
apollo pharmacy gst invoice 3256,pharmacy
medical store prescription drugs 9493,pharmacy
medicine bill taxable amount 8954,pharmacy
apollo pharmacy gst invoice 277,pharmacy
apollo pharmacy gst invoice 1872,pharmacy
medicine bill taxable amount 3504,pharmacy
medicine bill taxable amount 1017,pharmacy
paracetamol tablet medicine pharmacy bill 5268,pharmacy
medical store prescription drugs 4566,pharmacy
medical store prescription drugs 4219,pharmacy
paracetamol tablet medicine pharmacy bill 2010,pharmacy
tablet syrup capsule pharmacy 6152,pharmacy
apollo pharmacy gst invoice 7194,pharmacy
medical store prescription drugs 527,pharmacy
apollo pharmacy gst invoice 8575,pharmacy
medicine bill taxable amount 8782,pharmacy
apollo pharmacy gst invoice 3759,pharmacy
paracetamol tablet medicine pharmacy bill 271,pharmacy
tablet syrup capsule pharmacy 4991,pharmacy
paracetamol tablet medicine pharmacy bill 6414,pharmacy
apollo pharmacy gst invoice 5345,pharmacy
medicine bill taxable amount 366,pharmacy
apollo pharmacy gst invoice 6996,pharmacy
tablet syrup capsule pharmacy 8486,pharmacy
medical store prescription drugs 8154,pharmacy
medicine bill taxable amount 8233,pharmacy
tablet syrup capsule pharmacy 5678,pharmacy
paracetamol tablet medicine pharmacy bill 7756,pharmacy
paracetamol tablet medicine pharmacy bill 2069,pharmacy
medical store prescription drugs 9059,pharmacy
apollo pharmacy gst invoice 9528,pharmacy
apollo pharmacy gst invoice 1507,pharmacy
apollo pharmacy gst invoice 8601,pharmacy
medical store prescription drugs 2247,pharmacy
tablet syrup capsule pharmacy 6532,pharmacy
tablet syrup capsule pharmacy 8243,pharmacy
medical store prescription drugs 6956,pharmacy
paracetamol tablet medicine pharmacy bill 9132,pharmacy
medicine bill taxable amount 8425,pharmacy
tablet syrup capsule pharmacy 8145,pharmacy
medical store prescription drugs 135,pharmacy
medicine bill taxable amount 6354,pharmacy
tablet syrup capsule pharmacy 1038,pharmacy
apollo pharmacy gst invoice 4252,pharmacy
medicine bill taxable amount 662,pharmacy
apollo pharmacy gst invoice 3773,pharmacy
paracetamol tablet medicine pharmacy bill 6306,pharmacy
medicine bill taxable amount 681,pharmacy
paracetamol tablet medicine pharmacy bill 7924,pharmacy
medical store prescription drugs 7654,pharmacy
apollo pharmacy gst invoice 8229,pharmacy
medicine bill taxable amount 895,pharmacy
medicine bill taxable amount 8389,pharmacy
medical store prescription drugs 1624,pharmacy
apollo pharmacy gst invoice 4288,pharmacy
medicine bill taxable amount 4469,pharmacy
paracetamol tablet medicine pharmacy bill 2997,pharmacy
medicine bill taxable amount 4928,pharmacy
paracetamol tablet medicine pharmacy bill 9862,pharmacy
medicine bill taxable amount 3177,pharmacy
paracetamol tablet medicine pharmacy bill 5515,pharmacy
paracetamol tablet medicine pharmacy bill 6901,pharmacy
medical store prescription drugs 7929,pharmacy
apollo pharmacy gst invoice 4515,pharmacy
paracetamol tablet medicine pharmacy bill 8554,pharmacy
paracetamol tablet medicine pharmacy bill 4853,pharmacy
paracetamol tablet medicine pharmacy bill 8244,pharmacy
medical store prescription drugs 5451,pharmacy
paracetamol tablet medicine pharmacy bill 7868,pharmacy
medical store prescription drugs 7807,pharmacy
tablet syrup capsule pharmacy 6897,pharmacy
medical store prescription drugs 7862,pharmacy
medicine bill taxable amount 8661,pharmacy
paracetamol tablet medicine pharmacy bill 6765,pharmacy
medicine bill taxable amount 3937,pharmacy
apollo pharmacy gst invoice 2238,pharmacy
paracetamol tablet medicine pharmacy bill 906,pharmacy
medicine bill taxable amount 9417,pharmacy
paracetamol tablet medicine pharmacy bill 7649,pharmacy
paracetamol tablet medicine pharmacy bill 8743,pharmacy
tablet syrup capsule pharmacy 5777,pharmacy
medical store prescription drugs 3871,pharmacy
apollo pharmacy gst invoice 7394,pharmacy
medicine bill taxable amount 2729,pharmacy
tablet syrup capsule pharmacy 8371,pharmacy
apollo pharmacy gst invoice 4015,pharmacy
tablet syrup capsule pharmacy 781,pharmacy
medical store prescription drugs 2397,pharmacy
tablet syrup capsule pharmacy 8522,pharmacy
paracetamol tablet medicine pharmacy bill 4455,pharmacy
tablet syrup capsule pharmacy 1456,pharmacy
paracetamol tablet medicine pharmacy bill 8039,pharmacy
medical store prescription drugs 6717,pharmacy
paracetamol tablet medicine pharmacy bill 4689,pharmacy
medicine bill taxable amount 9568,pharmacy
paracetamol tablet medicine pharmacy bill 1776,pharmacy
tablet syrup capsule pharmacy 6800,pharmacy
tablet syrup capsule pharmacy 6614,pharmacy
electronics purchase warranty invoice 8803,electronics
croma reliance digital bill 6214,electronics
croma reliance digital bill 224,electronics
croma reliance digital bill 8329,electronics
croma reliance digital bill 7076,electronics
electronics purchase warranty invoice 9481,electronics
croma reliance digital bill 3441,electronics
croma reliance digital bill 7036,electronics
tv fridge washing machine electronics 6049,electronics
mobile phone invoice gst total 1509,electronics
electronics purchase warranty invoice 6577,electronics
tv fridge washing machine electronics 3018,electronics
electronics purchase warranty invoice 6451,electronics
laptop charger mouse electronics store 1080,electronics
laptop charger mouse electronics store 9661,electronics
mobile phone invoice gst total 3650,electronics
mobile phone invoice gst total 7714,electronics
mobile phone invoice gst total 1998,electronics
laptop charger mouse electronics store 6053,electronics
tv fridge washing machine electronics 5345,electronics
mobile phone invoice gst total 7161,electronics
mobile phone invoice gst total 902,electronics
mobile phone invoice gst total 9044,electronics
tv fridge washing machine electronics 4425,electronics
electronics purchase warranty invoice 3222,electronics
electronics purchase warranty invoice 1761,electronics
croma reliance digital bill 6518,electronics
electronics purchase warranty invoice 9716,electronics
croma reliance digital bill 2983,electronics
tv fridge washing machine electronics 3878,electronics
tv fridge washing machine electronics 1962,electronics
laptop charger mouse electronics store 9591,electronics
electronics purchase warranty invoice 3364,electronics
tv fridge washing machine electronics 8774,electronics
laptop charger mouse electronics store 3947,electronics
mobile phone invoice gst total 6708,electronics
tv fridge washing machine electronics 1082,electronics
mobile phone invoice gst total 8379,electronics
tv fridge washing machine electronics 1367,electronics
electronics purchase warranty invoice 9890,electronics
electronics purchase warranty invoice 4099,electronics
electronics purchase warranty invoice 3497,electronics
mobile phone invoice gst total 480,electronics
mobile phone invoice gst total 6729,electronics
croma reliance digital bill 4274,electronics
croma reliance digital bill 9879,electronics
mobile phone invoice gst total 1501,electronics
tv fridge washing machine electronics 4909,electronics
mobile phone invoice gst total 1640,electronics
laptop charger mouse electronics store 6527,electronics
croma reliance digital bill 4167,electronics
mobile phone invoice gst total 4474,electronics
laptop charger mouse electronics store 6249,electronics
croma reliance digital bill 3844,electronics
tv fridge washing machine electronics 425,electronics
tv fridge washing machine electronics 7909,electronics
tv fridge washing machine electronics 9884,electronics
electronics purchase warranty invoice 5919,electronics
mobile phone invoice gst total 6821,electronics
mobile phone invoice gst total 3328,electronics
croma reliance digital bill 4742,electronics
mobile phone invoice gst total 308,electronics
croma reliance digital bill 8025,electronics
croma reliance digital bill 2741,electronics
laptop charger mouse electronics store 4349,electronics
croma reliance digital bill 8969,electronics
croma reliance digital bill 9907,electronics
tv fridge washing machine electronics 2006,electronics
croma reliance digital bill 4851,electronics
croma reliance digital bill 4054,electronics
tv fridge washing machine electronics 7701,electronics
tv fridge washing machine electronics 385,electronics
electronics purchase warranty invoice 7372,electronics
croma reliance digital bill 7201,electronics
electronics purchase warranty invoice 3406,electronics
laptop charger mouse electronics store 1653,electronics
laptop charger mouse electronics store 1560,electronics
tv fridge washing machine electronics 5685,electronics
tv fridge washing machine electronics 4117,electronics
croma reliance digital bill 3221,electronics
laptop charger mouse electronics store 9929,electronics
mobile phone invoice gst total 9984,electronics
mobile phone invoice gst total 737,electronics
laptop charger mouse electronics store 4824,electronics
electronics purchase warranty invoice 4255,electronics
tv fridge washing machine electronics 9575,electronics
electronics purchase warranty invoice 2005,electronics
laptop charger mouse electronics store 8897,electronics
tv fridge washing machine electronics 8868,electronics
electronics purchase warranty invoice 7961,electronics
electronics purchase warranty invoice 4164,electronics
mobile phone invoice gst total 8038,electronics
croma reliance digital bill 7227,electronics
croma reliance digital bill 947,electronics
mobile phone invoice gst total 6107,electronics
electronics purchase warranty invoice 5833,electronics
tv fridge washing machine electronics 1209,electronics
croma reliance digital bill 2883,electronics
electronics purchase warranty invoice 3704,electronics
electronics purchase warranty invoice 2195,electronics
